fid_1,final_yield
633,52.6279106
634,52.4431915
635,49.7306213
636,49.6595993
637,47.3945885
638,47.2616081
639,51.1836586
640,46.3095818
641,48.9822388
642,50.9038506
643,48.9652214
644,37.6528816
645,39.7353401
646,31.08494
647,36.1434517
648,29.4719505
649,38.9726295
650,34.4593315
651,47.9924088
652,61.4085693
653,67.2576599
654,65.6184464
655,74.7257614
656,67.851532
657,60.5845985
658,57.7006912
659,57.0088882
660,57.5018387
661,54.8194389
662,57.1206589
663,47.679821
664,45.2527084
665,55.9399414
666,71.5344772
667,65.871521
668,70.179863
669,67.836113
670,68.5615768
671,67.8841019
672,67.8523407
673,68.3308182
674,69.2913895
675,68.3673325
676,63.5000191
677,70.5006485
678,69.9065399
679,65.7031403
680,66.7005081
681,67.1706772
682,65.2920532
683,66.7905731
684,56.1753082
685,43.6399803
686,56.6481209
687,59.3503685
688,56.257679
689,56.9468689
690,59.04422
691,62.1608696
692,59.8083611
693,56.4222107
694,55.1942101
695,55.51091
696,54.9320602
697,50.5891495
698,52.930191
699,38.790451
700,59.7143402
701,54.3250084
702,50.4701385
703,54.1842194
704,51.9054794
705,50.3109512
706,50.2640686
707,56.8227386
708,54.7863884
709,52.4941216
710,50.6781807
711,59.9977608
712,54.8558197
713,56.3066902
714,50.0568199
715,52.8169212
716,50.5117302
717,46.3190918
718,53.2945213
719,44.9934387
720,57.5083885
721,56.4594688
722,54.1704102
723,54.7547913
724,50.5539513
725,52.9170494
726,49.8376198
727,52.1830292
728,56.7316399
729,55.5654793
730,49.5937881
731,50.4557419
732,55.0390396
733,58.3292084
734,54.8771896
735,56.5126686
736,57.7267609
737,53.5132713
738,50.4367104
739,53.2729683
740,54.3782692
741,50.9624901
742,47.0678902
743,44.2527504
744,51.0455399
745,47.3144188
746,50.1970291
747,50.0186691
748,46.8515892
749,44.9243813
750,39.5058212
751,45.3560219
752,27.5922699
753,40.5003014
754,39.1067314
755,30.3115997
756,27.2901001
757,41.1075211
758,61.0401001
759,68.5416489
760,68.4718628
761,68.0620575
762,67.6454468
763,64.4760208
764,68.0460968
765,64.3850403
766,58.5338516
767,60.4126816
768,61.4774399
769,60.5978813
770,57.6121407
771,50.9924088
772,60.4670982
773,66.3196182
774,67.7104874
775,68.3387299
776,75.6720123
777,68.8108826
778,68.83255
779,70.5346832
780,68.6861725
781,68.9609528
782,61.3045807
783,59.4981194
784,61.4324303
785,55.8432884
786,55.6016617
787,59.1752815
788,60.6965904
789,59.9326096
790,65.5411911
791,66.0936203
792,61.5637703
793,56.53825
794,51.3596916
795,49.4528084
796,58.9189186
797,57.5244102
798,57.7975693
799,55.1554108
800,50.8636703
801,47.6876793
802,46.826931
803,43.8459702
804,50.8179398
805,59.0271301
806,57.7338295
807,52.1398697
808,51.8656883
809,47.0671692
810,48.9122086
811,55.1071281
812,54.3653412
813,46.9548988
814,47.5910492
815,51.1767502
816,52.9044189
817,54.6746712
818,52.2934303
819,50.3918915
820,43.8303185
821,47.6336098
822,44.7364998
823,45.3410416
824,49.1770706
825,58.3892288
826,51.7913513
827,49.8505287
828,53.8134384
829,49.3274803
830,46.9387016
831,49.8017006
832,50.9040413
833,52.4431992
834,46.7670593
835,47.7411003
836,46.9768906
837,56.4724998
838,57.6970901
839,64.7535324
840,55.8712311
841,53.2775192
842,53.8661499
843,57.9324493
844,52.2235184
845,48.4703217
846,49.611721
847,46.9142685
848,51.6954689
849,55.5261803
850,53.6290512
851,53.0904694
852,54.7979088
853,50.1641998
854,52.5973396
855,40.7584305
856,43.67836
857,26.0255604
858,40.3593597
859,45.2267418
860,41.6569405
861,41.0325394
862,46.4597588
863,62.7205086
864,75.1074677
865,71.2714615
866,66.3191605
867,66.8612366
868,59.2261009
869,68.2192001
870,64.6201401
871,64.4900665
872,58.3134117
873,54.1704216
874,61.7471504
875,52.6014214
876,49.67342
877,70.7549515
878,76.7954407
879,71.0433121
880,68.744751
881,68.9351425
882,69.898407
883,68.2960892
884,65.6194382
885,60.8778801
886,58.6584282
887,63.8705597
888,67.713707
889,66.2366104
890,65.2505493
891,64.0243225
892,50.2474098
893,56.967289
894,53.2956886
895,49.9104614
896,53.3018684
897,55.6694717
898,54.4834404
899,46.8258286
900,51.3606606
901,51.9344101
902,58.5740891
903,56.7403488
904,54.7212296
905,48.2149811
906,46.5047112
907,50.0282211
908,52.3326492
909,51.7303505
910,48.3633003
